order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD382112,ID0289597187,3/6/2019,Thompson,"[('pearTV', 1), ('Candle Inferno', 2)]",7170,61.72,-37.8117825,144.9519722,15,6156.22,Autumn,TRUE,0.4425,"to many adds in ui it has adds, sends info to manufacture,",FALSE
ORD378488,ID1668523020,5/5/2019,Thompson,"[('Thunder line', 1), ('Lucent 330S', 2), ('Alcon 10', 1)]",13590,65.2,-37.8082365,144.9421811,10,12296.2,Autumn,FALSE,0.6547,s10e haven't had this phone but a short time but i have fallen in love lol,TRUE
ORD279446,ID0370751503,3/24/2019,Bakers,"[('Candle Inferno', 2), ('Universe Note', 1)]",4310,78.75,-37.8129413,144.9858829,15,3742.25,Summer,TRUE,0.8852,"best bang for your buck! great overall android phone, no damages during shipping and after a month phone performance hasn't declined, would recommend to anyone who wants to get a upgrade.",TRUE
ORD277196,ID0634774947,1/12/2019,Thompson,"[('pearTV', 1), ('Thunder line', 1), ('Olivia x460', 2)]",10940,92.59,-37.8117484,144.9381916,25,8297.59,Summer,TRUE,0.7875,good it was a gift for my niece. it to her in jamaica.,TRUE
ORD116193,ID3313210924,9/2/2019,Nickolson,"[('pearTV', 2), ('Universe Note', 2), ('Thunder line', 1)]",21700,95.62,-37.8183928,144.9670339,5,20710.62,Spring,TRUE,0.2225,"excellent product excellent product, was received as described, was delivered at the correct time.",TRUE
ORD005004,ID0472236192,5/7/2019,Nickolson,"[('Thunder line', 2), ('Lucent 330S', 2)]",6820,84.09,-37.8015018,144.9661038,0,6904.09,Autumn,TRUE,1.9268,i love it very nice and good product would recomend to others,TRUE
ORD296379,ID0591306178,1/19/2019,Nickolson,"[('Thunder line', 1), ('pearTV', 1)]",8490,77.51,-37.8237,144.9563143,0,8567.51,Summer,FALSE,1.2953,great phone great phone i am still using that and learning more and more about it everyday i still have it and have gone through one case and put a new case on,TRUE
ORD447851,ID0591430562,2/7/2019,Bakers,"[('Alcon 10', 2), ('Toshika 750', 2), ('Universe Note', 1), ('Olivia x460', 2)]",32440,67.27,-37.8174124,144.96759,5,30885.27,Summer,FALSE,0.2169,"five stars it was a gift, my nephew is loving it.",TRUE
ORD078449,ID0030287324,10/20/2019,Nickolson,"[('Olivia x460', 2), ('iAssist Line', 2)]",6900,105.5,-37.8070811,144.9672879,15,5970.5,Spring,TRUE,1.2971,definitively would buy again. has been great to me for the past months. highly suggest for people who want to buy an up to date phone but do not want to pay for the newest universe out.,TRUE
ORD018258,ID0245537598,5/27/2019,Nickolson,"[('Universe Note', 1), ('Lucent 330S', 1), ('iAssist Line', 1), ('iStream', 2)]",7205,65.39,-37.8101638,144.9668186,15,6189.64,Autumn,FALSE,0.9688,my best snapchat phone my snapchats are crystal clear with nice zoom focus. has wide vertical lens capturing a lot in one frame. phones overall performance is smooth and fast. phone is large but overall is the perfect size for cargo pant pockets.,TRUE
ORD282994,ID0577518122,11/7/2019,Nickolson,"[('Candle Inferno', 1), ('Alcon 10', 2), ('iAssist Line', 2), ('Thunder line', 2)]",27140,77.31,-37.8244322,144.9757989,0,27217.31,Spring,FALSE,0.8509,"great! best purchase i have made so far on a phone, definitely worth it.",TRUE
ORD379775,ID0477079436,12/17/2019,Nickolson,"[('Alcon 10', 1), ('Candle Inferno', 1), ('Universe Note', 1), ('Lucent 330S', 1)]",14060,96.53,-37.8078471,144.9744618,10,12750.53,Summer,TRUE,1.272,"camera is awesome outstanding camera!! doesn't seem to freeze or lock up like every other phone i've had. fast, efficient, and it looks way too",TRUE
ORD426442,ID3218227004,11/10/2019,Thompson,"[('Toshika 750', 1), ('iAssist Line', 1)]",6545,87.2,-37.8067528,144.9463506,10,5977.7,Spring,TRUE,0.6621,"i reached out to digico, because the device wanted to sync my phone number but it would not allow because it said my number was already in use.  customer service couldn't help they basically told me to contact sprint to assist.  so thunder does the bare minimum without access to my phone for set up, so its kind of pointless to have and pay for.",FALSE
ORD030654,ID0846546204,5/9/2019,Nickolson,"[('Universe Note', 1), ('Thunder line', 2), ('Toshika 750', 1), ('Lucent 330S', 1)]",13360,64.62,-37.8187471,144.9678683,25,10084.62,Autumn,FALSE,0.1489,"very resilient phone awesome phone. pretty resilient. husband has had one for years now- dropped many times and no crack, break, or issues of any kind. bought this for our oldest son. no problems at all.",TRUE
ORD274334,ID5402876538,12/19/2019,Nickolson,"[('Alcon 10', 2), ('iAssist Line', 2)]",22350,56.34,-37.8210595,144.977085,0,22406.34,Summer,FALSE,0.7171,worst flip phone worst flip phone i ever had. it is difficult to open and the sound is terrible. my old lg vx8300 is far better than this phone.,FALSE
ORD030833,ID2269263377,10/29/2019,Thompson,"[('Olivia x460', 1), ('Alcon 10', 2)]",19125,76.61,-37.8191715,144.9542421,25,14420.36,Spring,FALSE,0.9598,"great value at an excellent price the google pixel is a stellar phone. i love how it is stock android, so no unnecessary apps. the size is perfect, making it feel like tablet that fits in my pocket.",TRUE
ORD256447,ID1404216319,12/13/2019,Nickolson,"[('Candle Inferno', 1), ('Olivia x460', 1), ('Thunder line', 2)]",6015,77.47,-37.8011379,144.9886054,25,4588.72,Summer,FALSE,1.1454,i love this phone i love this phone. very fast and great screen size. super responsive. makes my old s4 seem like a model a,TRUE
